"id","date","displayDateLabel","datePrecision","title","seriesTitle","heading","dateline","type","subjectArea","selection","releaseStatus","extentLabel","classification","naid","localId","sourceNoteStatus","sourceNoteBasis","archivalLocator","topics","notes","catalogUrl","pdfUrl"
"policy-development-653628681","1990-08-01","August 1990","month","Porter - Aug 90 [August 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Aug 90 [August 1990]","August 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628681","05841–018","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–018, Porter - Aug 90 [August 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628681","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-018.pdf"
"policy-development-653628683","1990-09-01","September 1990","month","Porter - Sept 90 [September 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Sept 90 [September 1990]","September 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628683","05841–019","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–019, Porter - Sept 90 [September 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628683","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-019.pdf"
"policy-development-653628685","1990-10-01","October 1990","month","Porter - Oct 90 [October 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Oct 90 [October 1990]","October 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628685","05841–020","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–020, Porter - Oct 90 [October 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628685","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-020.pdf"
"policy-development-653628687","1990-11-01","November 1990","month","Porter - Nov 90 [November 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Nov 90 [November 1990]","November 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628687","05841–021","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–021, Porter - Nov 90 [November 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628687","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-021.pdf"
"policy-development-653628689","1990-12-01","December 1990","month","Porter - Dec-90 [December 1990]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Dec-90 [December 1990]","December 1990","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628689","05841–022","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–022, Porter - Dec-90 [December 1990].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628689","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-022.pdf"
"policy-development-509546902","1991-01-01","January 1991","month","Global Warming: Global Climate Change 1/91 [1]","Teresa Gorman Subject Files","White House Office of Policy Development File: Global Warming: Global Climate Change 1/91 [1]","January 1991","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546902","07676–008","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07676–008, Global Warming: Global Climate Change 1/91 [1].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546902",""
"policy-development-509546903","1991-01-01","January 1991","month","Global Warming: Global Climate Change 1/91 [2]","Teresa Gorman Subject Files","White House Office of Policy Development File: Global Warming: Global Climate Change 1/91 [2]","January 1991","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546903","07676–009","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07676–009, Global Warming: Global Climate Change 1/91 [2].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546903",""
"policy-development-509546904","1991-01-01","January 1991","month","Global Warming: Global Climate Change 1/91 [3]","Teresa Gorman Subject Files","White House Office of Policy Development File: Global Warming: Global Climate Change 1/91 [3]","January 1991","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546904","07676–010","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07676–010, Global Warming: Global Climate Change 1/91 [3].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546904",""
"policy-development-509548135","1991-01-01","January 1, 1991-December 31, 1991","range","Trade Chron Files: 1991","Stephen P. Farrar Trade Files","White House Office of Policy Development File: Trade Chron Files: 1991","January 1, 1991-December 31, 1991","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548135","CF01119–003","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–003, Trade Chron Files: 1991.","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548135",""
"policy-development-653628639","1991-04-01","April-May 1991","range","[Staffing Memoranda, April-May, 1991] [1]","Roger Porter's Chronological Files","White House Office of Policy Development File: [Staffing Memoranda, April-May, 1991] [1]","April-May 1991","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628639","03861–001","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 03861–001, [Staffing Memoranda, April-May, 1991] [1].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628639","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-03861-001.pdf"
"policy-development-653628641","1991-04-01","April-May 1991","range","[Staffing Memoranda, April-May, 1991] [2]","Roger Porter's Chronological Files","White House Office of Policy Development File: [Staffing Memoranda, April-May, 1991] [2]","April-May 1991","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628641","03861–002","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 03861–002, [Staffing Memoranda, April-May, 1991] [2].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628641","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-03861-002.pdf"
"policy-development-653628643","1991-06-01","June-July 1991","range","[Staffing Memoranda, June-July, 1991] [1]","Roger Porter's Chronological Files","White House Office of Policy Development File: [Staffing Memoranda, June-July, 1991] [1]","June-July 1991","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628643","03861–003","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 03861–003, [Staffing Memoranda, June-July, 1991] [1].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628643","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-03861-003.pdf"
"policy-development-653628645","1991-06-01","June-July 1991","range","[Staffing Memoranda, June-July, 1991] [2]","Roger Porter's Chronological Files","White House Office of Policy Development File: [Staffing Memoranda, June-July, 1991] [2]","June-July 1991","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628645","03861–004","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 03861–004, [Staffing Memoranda, June-July, 1991] [2].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628645","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-03861-004.pdf"
"policy-development-509546661","1991-11-18","November 18, 1991","day","Video: NHK - Japan Broadcasting - The Uruguay Round 11/18/91","Warren Maruyama Subject Files","White House Office of Policy Development File: Video: NHK - Japan Broadcasting - The Uruguay Round 11/18/91","November 18, 1991","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546661","07405–004","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Warren Maruyama Subject Files, OA/ID 07405–004, Video: NHK - Japan Broadcasting - The Uruguay Round 11/18/91.","White House Office of Policy Development; Warren Maruyama Subject Files; Trade policy","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546661",""
"policy-development-509545840","1992-01-01","January 1992","month","Trade Policy Paper, January 1992","J. French Hill Files","White House Office of Policy Development File: Trade Policy Paper, January 1992","January 1992","White House Office of Policy Development file","Trade Policy and Market Access","Core","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509545840","06094–015","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, J. French Hill Files, OA/ID 06094–015, Trade Policy Paper, January 1992.","White House Office of Policy Development; J. French Hill Files; Trade policy","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509545840",""
"policy-development-285411057","1992-01-01","1992","year","Climate Change 1992","Ed Goldstein Subject Files","White House Office of Policy Development File: Climate Change 1992","1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","285411057","06683–017","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Ed Goldstein Subject Files, OA/ID 06683–017, Climate Change 1992.","White House Office of Policy Development; Ed Goldstein Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/285411057","https://catalog.archives.gov/medialz/presidential-libraries/bush/foia/2017/41-bpr-poldev-goldstein-06683-017.pdf"
"policy-development-509546897","1992-01-01","January 1, 1992-December 31, 1992","range","Global Warming: 1992 Conference / Brazil [1]","Teresa Gorman Subject Files","White House Office of Policy Development File: Global Warming: 1992 Conference / Brazil [1]","January 1, 1992-December 31, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546897","07676–003","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07676–003, Global Warming: 1992 Conference / Brazil [1].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546897",""
"policy-development-509546898","1992-01-01","January 1, 1992-December 31, 1992","range","Global Warming: 1992 Conference / Brazil [2]","Teresa Gorman Subject Files","White House Office of Policy Development File: Global Warming: 1992 Conference / Brazil [2]","January 1, 1992-December 31, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546898","07676–004","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07676–004, Global Warming: 1992 Conference / Brazil [2].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546898",""
"policy-development-509546899","1992-01-01","January 1, 1992-December 31, 1992","range","Global Warming: 1992 Conference / Brazil [3]","Teresa Gorman Subject Files","White House Office of Policy Development File: Global Warming: 1992 Conference / Brazil [3]","January 1, 1992-December 31, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546899","07676–005","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07676–005, Global Warming: 1992 Conference / Brazil [3].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546899",""
"policy-development-509548136","1992-01-01","January 1, 1992-December 31, 1992","range","Trade Chron Files: 1992","Stephen P. Farrar Trade Files","White House Office of Policy Development File: Trade Chron Files: 1992","January 1, 1992-December 31, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548136","CF01119–004","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–004, Trade Chron Files: 1992.","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548136",""
"policy-development-509548140","1992-01-01","January 1, 1992-December 31, 1992","range","Trade Files: EEC 1992 [1]","Stephen P. Farrar Trade Files","White House Office of Policy Development File: Trade Files: EEC 1992 [1]","January 1, 1992-December 31, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548140","CF01119–008","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–008, Trade Files: EEC 1992 [1].","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548140",""
"policy-development-509548141","1992-01-01","January 1, 1992-December 31, 1992","range","Trade Files: EEC 1992 [2]","Stephen P. Farrar Trade Files","White House Office of Policy Development File: Trade Files: EEC 1992 [2]","January 1, 1992-December 31, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548141","CF01119–009","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–009, Trade Files: EEC 1992 [2].","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548141",""
"policy-development-509548244","1992-01-01","January 1, 1992-December 31, 1992","range","EC [European Community] 1992","Warren Maruyama Subject Files","White House Office of Policy Development File: EC [European Community] 1992","January 1, 1992-December 31, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548244","CF01243–012","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Warren Maruyama Subject Files, OA/ID CF01243–012, EC [European Community] 1992.","White House Office of Policy Development; Warren Maruyama Subject Files","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548244",""
"policy-development-509548212","1992-04-06","April 6, 1992","day","[Uruguay Round]: NAFTA Ministerial, April 6-8, 1992","Stephen P. Farrar Trade Files","White House Office of Policy Development File: [Uruguay Round]: NAFTA Ministerial, April 6-8, 1992","April 6, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Boundary","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548212","CF01120–054","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01120–054, [Uruguay Round]: NAFTA Ministerial, April 6-8, 1992.","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy; NAFTA boundary","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548212",""
"policy-development-509548217","1992-04-06","April 6, 1992","day","[Uruguay Round]: NAFTA Ministerial, Montreal, Canada, April 6-8, 1992 [1]","Stephen P. Farrar Trade Files","White House Office of Policy Development File: [Uruguay Round]: NAFTA Ministerial, Montreal, Canada, April 6-8, 1992 [1]","April 6, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Boundary","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548217","CF01120–059","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01120–059, [Uruguay Round]: NAFTA Ministerial, Montreal, Canada, April 6-8, 1992 [1].","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy; NAFTA boundary","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548217",""
"policy-development-509548218","1992-04-06","April 6, 1992","day","[Uruguay Round]: NAFTA Ministerial, Montreal, Canada, April 6-8, 1992 [2]","Stephen P. Farrar Trade Files","White House Office of Policy Development File: [Uruguay Round]: NAFTA Ministerial, Montreal, Canada, April 6-8, 1992 [2]","April 6, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Boundary","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548218","CF01120–060","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01120–060, [Uruguay Round]: NAFTA Ministerial, Montreal, Canada, April 6-8, 1992 [2].","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy; NAFTA boundary","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548218",""
"policy-development-509548219","1992-05-13","May 13, 1992","day","[Uruguay Round]: NAFTA Ministerial, Toronto, Canada, May 13-14, 1992 [1]","Stephen P. Farrar Trade Files","White House Office of Policy Development File: [Uruguay Round]: NAFTA Ministerial, Toronto, Canada, May 13-14, 1992 [1]","May 13, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Boundary","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548219","CF01120–061","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01120–061, [Uruguay Round]: NAFTA Ministerial, Toronto, Canada, May 13-14, 1992 [1].","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy; NAFTA boundary","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548219",""
